        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Board Power Draw [W] , GPU Chip Power Draw [W] , PCIe Slot Power [W] , PCIe Slot Voltage [V] , 8-Pin #1 Power [W] , 8-Pin #1 Voltage [V] , 8-Pin #2 Power [W] , 8-Pin #2 Voltage [V] , Power Consumption (%) [% TDP] , PerfCap Reason [] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2026-08-06 18:54:53 ,         139.0   ,            101.3   ,               26.5   ,        40.5   ,               0   ,                   0   ,            977   ,          0   ,                        7   ,                   0   ,                    0   ,               16.6   ,                   4.2   ,               4.9   ,                11.9   ,              2.5   ,               12.0   ,              8.5   ,               12.0   ,                         6.0   ,              16   ,        0.6500   ,               30.0   ,                  8466   ,
2026-08-06 18:54:54 ,         139.0   ,            101.3   ,               26.4   ,        40.4   ,               0   ,                   0   ,            964   ,          2   ,                        7   ,                   0   ,                    0   ,               16.9   ,                   4.6   ,               4.9   ,                11.9   ,              2.8   ,               12.0   ,              8.6   ,               12.0   ,                         6.2   ,              16   ,        0.6500   ,               30.0   ,                  8468   ,
2026-08-06 18:54:55 ,         139.0   ,            101.3   ,               26.5   ,        40.5   ,               0   ,                   0   ,            964   ,          0   ,                        7   ,                   0   ,                    0   ,               18.5   ,                   4.6   ,               6.4   ,                11.9   ,              2.8   ,               12.0   ,              8.6   ,               12.0   ,                         6.7   ,              16   ,        0.6500   ,               29.0   ,                  8466   ,
2026-08-06 18:54:56 ,         139.0   ,            101.3   ,               26.5   ,        40.5   ,               0   ,                   0   ,            962   ,          5   ,                        8   ,                   0   ,                    2   ,               16.9   ,                   4.5   ,               4.9   ,                11.9   ,              2.7   ,               12.0   ,              8.7   ,               12.0   ,                         6.2   ,              16   ,        0.6500   ,               30.0   ,                  8478   ,
2026-08-06 18:54:57 ,         139.0   ,            101.3   ,               26.5   ,        40.5   ,               0   ,                   0   ,            962   ,          2   ,                        7   ,                   0   ,                    0   ,               21.6   ,                   7.0   ,               6.2   ,                11.9   ,              4.2   ,               12.0   ,             10.5   ,               12.0   ,                         7.9   ,              16   ,        0.6500   ,               30.0   ,                  8480   ,
2026-08-06 18:54:58 ,         139.0   ,            101.3   ,               26.4   ,        40.4   ,               0   ,                   0   ,            962   ,          0   ,                        7   ,                   0   ,                    0   ,               16.6   ,                   4.3   ,               4.8   ,                11.9   ,              2.6   ,               12.0   ,              8.5   ,               12.0   ,                         6.0   ,              16   ,        0.6500   ,               30.0   ,                  8465   ,
2026-08-06 18:54:59 ,         139.0   ,            101.3   ,               26.4   ,        40.4   ,               0   ,                   0   ,            963   ,          2   ,                        7   ,                   0   ,                    0   ,               21.5   ,                   6.9   ,               6.2   ,                11.9   ,              4.1   ,               12.0   ,             10.5   ,               12.0   ,                         7.8   ,              16   ,        0.6500   ,               29.0   ,                  8464   ,
2026-08-06 18:55:00 ,         139.0   ,            101.3   ,               26.3   ,        40.3   ,               0   ,                   0   ,            963   ,          0   ,                        7   ,                   0   ,                    0   ,               22.7   ,                   7.0   ,               7.3   ,                11.9   ,              4.2   ,               12.0   ,             10.5   ,               12.0   ,                         8.2   ,              16   ,        0.6500   ,               30.0   ,                  8464   ,
2026-08-06 18:55:01 ,         139.0   ,            101.3   ,               26.3   ,        40.3   ,               0   ,                   0   ,            963   ,          0   ,                        7   ,                   0   ,                    0   ,               21.6   ,                   6.9   ,               6.2   ,                11.9   ,              4.1   ,               12.0   ,             10.6   ,               12.0   ,                         7.9   ,              16   ,        0.6500   ,               29.0   ,                  8463   ,
2026-08-06 18:55:02 ,         139.0   ,            101.3   ,               26.5   ,        40.5   ,               0   ,                   0   ,            965   ,          0   ,                        8   ,                   0   ,                    0   ,               16.5   ,                   4.3   ,               4.8   ,                11.9   ,              2.6   ,               12.0   ,              8.4   ,               12.0   ,                         6.0   ,              16   ,        0.6500   ,               29.0   ,                  8463   ,
